cx,cy,cz,a,b,theta,A1,A2,phi1,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
-1,2.3,11.6,7.8,6,27,2,-6,0,-9.929235057,-0.558025818,-1.781394213,-0.050753009,-1.64939121,-0.081494724,-0.795714055,-0.199667407,-1.700445423,-0.467451024,-0.13866716,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-1.0_cy=2.3_cz=11.6.log
1,2.3,11.6,7.8,6,27,2,-6,0,-9.929228782,-1.781394213,-0.558019542,-0.081494724,-0.795714055,-0.050753009,-1.64939121,-0.13866716,-0.467451024,-1.700445423,-0.199667407,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=1.0_cy=2.3_cz=11.6.log
0,2.5,11.5,7.8,6,27,2,-6,0,-9.918134405,-1.361445696,-1.361445696,-0.066905116,-1.076286327,-0.066905116,-1.076286327,-0.164457821,-1.062757211,-1.062757211,-0.164457821,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.0_cy=2.5_cz=11.5.log
-0.1,2.5,11.5,7.8,6,27,2,-6,0,-9.913930088,-1.268373413,-1.449717527,-0.065373992,-1.223581749,-0.068392315,-0.922213796,-0.16725024,-1.140606102,-0.988654555,-0.161627751,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.1_cy=2.5_cz=11.5.log
0.1,2.5,11.5,7.8,6,27,2,-6,0,-9.913930088,-1.449717527,-1.268373413,-0.068392315,-0.922213796,-0.065373992,-1.223581749,-0.161627751,-0.988654555,-1.140606102,-0.16725024,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.1_cy=2.5_cz=11.5.log
0.9,2.4,11.7,7.8,6,27,2,-6,0,-9.906563121,-1.690737844,-0.868944473,-0.074422686,-0.84835587,-0.048280619,-1.623864103,-0.130553456,-0.474849367,-1.596630169,-0.173945772,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.9_cy=2.4_cz=11.7.log
-0.9,2.4,11.7,7.8,6,27,2,-6,0,-9.906563121,-0.868950748,-1.690731568,-0.048280619,-1.623864103,-0.074422686,-0.84835587,-0.173945772,-1.596630169,-0.474849367,-0.130553456,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.9_cy=2.4_cz=11.7.log
0.8,2.4,11.5,7.8,6,27,2,-6,0,-9.895393443,-1.815329954,-0.483998463,-0.079800447,-0.428777583,-0.055346382,-1.809939643,-0.146523585,-0.578514019,-1.689959731,-0.19610315,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.8_cy=2.4_cz=11.5.log
-0.8,2.4,11.5,7.8,6,27,2,-6,0,-9.895393443,-0.483998463,-1.815323679,-0.055352657,-1.809939643,-0.079800447,-0.428777583,-0.19610315,-1.689959731,-0.578514019,-0.146523585,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.8_cy=2.4_cz=11.5.log
-0.8,2.3,11.7,7.8,6,27,2,-6,0,-9.89274535,-0.791434437,-1.670538297,-0.052008029,-1.592432127,-0.076480919,-1.013278048,-0.181858673,-1.516290064,-0.511928933,-0.138209077,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.8_cy=2.3_cz=11.7.log
