a,b,theta,A1,A2,E,E_p,E_t,machine_type,status,file_name
5.9,8.8,64,-6,33,-49.72764742,-7.615905637,-8.623959036,1,Done,tetracene_A1=-6_A2=33_a=5.9_b=8.8_theta=64.0_cx=0_cy=0_cz=0.log
6,8.6,64,-2,33,-54.16042575,-7.433522366,-9.823345255,2,Done,tetracene_A1=-2_A2=33_a=6.0_b=8.6_theta=64.0_cx=0_cy=0_cz=0.log
6,8.6,64,-3,33,-53.36217279,-7.381371264,-9.649857565,2,Done,tetracene_A1=-3_A2=33_a=6.0_b=8.6_theta=64.0_cx=0_cy=0_cz=0.log
6,8.6,64,-1,33,-54.58150253,-7.473285164,-9.908733051,2,Done,tetracene_A1=-1_A2=33_a=6.0_b=8.6_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.8,64,-4,33,-52.92244641,-7.722376514,-9.369423346,1,Done,tetracene_A1=-4_A2=33_a=5.9_b=8.8_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.8,64,-5,33,-51.55054389,-7.674858947,-9.050206499,1,Done,tetracene_A1=-5_A2=33_a=5.9_b=8.8_theta=64.0_cx=0_cy=0_cz=0.log
6,8.6,64.5,-2,33,-54.46745133,-7.479933005,-9.876896331,2,Done,tetracene_A1=-2_A2=33_a=6.0_b=8.6_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.8,64.5,-6,33,-50.36776786,-7.696036154,-8.743923888,1,Done,tetracene_A1=-6_A2=33_a=5.9_b=8.8_theta=64.5_cx=0_cy=0_cz=0.log
6,8.6,64.5,-3,33,-53.76396493,-7.443562526,-9.71920997,2,Done,tetracene_A1=-3_A2=33_a=6.0_b=8.6_theta=64.5_cx=0_cy=0_cz=0.log
6,8.6,64.5,-1,33,-54.80555372,-7.500308255,-9.951234303,2,Done,tetracene_A1=-1_A2=33_a=6.0_b=8.6_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.8,64.5,-4,33,-53.28953976,-7.773339111,-9.435715385,1,Done,tetracene_A1=-4_A2=33_a=5.9_b=8.8_theta=64.5_cx=0_cy=0_cz=0.log
